word,nnn
the,59609
and,39456
i,38258
to,30500
was,26793
a,25502
not,24762
it,17544
we,16305
is,16173
of,15761
for,13378
in,12124
that,11959
my,11202
this,10267
they,10154
food,8880
were,8597
but,8257
have,8248
had,7876
with,7787
on,7702
you,7633
notthe,7508
at,7242
notto,6583
our,6348
so,6165
there,5378
place,5115
would,4954
out,4926
no,4924
me,4679
just,4638
do,4527
service,4515
did,4419
if,4402
be,4398
she,4394
when,4242
as,4136
like,4022
he,3996
are,3982
nota,3915
notand,3893
us,3876
one,3768
time,3740
all,3603
ordered,3547
order,3491
up,3442
never,3370
get,3306
from,3192
here,3115
after,3107
about,3088
very,3063
notit,2947
minutes,2922
good,2918
am,2910
got,2881
what,2840
will,2828
an,2747
could,2745
came,2730
only,2720
their,2702
restaurant,2677
said,2674
back,2665
then,2626
or,2618
asked,2554
noti,2458
go,2450
been,2433
by,2393
because,2381
notof,2378
over,2339
went,2328
which,2319
notfor,2236
them,2090
table,2082
notbe,2075
her,2065
notwas,2063
your,2057
notthat,2050
told,2038
can,2010
some,1986
notin,1941
chicken,1940
really,1921
other,1915
even,1906
notthis,1903
bad,1880
took,1864
first,1863
manager,1827
notback,1778
more,1752
people,1713
noteven,1676
who,1644
notnot,1607
nothave,1598
off,1593
server,1583
two,1550
ever,1549
waitress,1536
before,1519
how,1510
notat,1506
worst,1504
down,1500
better,1498
has,1496
notis,1480
another,1465
also,1464
again,1417
should,1417
wait,1412
noton,1409
too,1408
notmy,1407
experience,1386
pizza,1385
way,1367
than,1366
well,1355
notfood,1349
still,1327
left,1286
bar,1251
menu,1240
eat,1234
notor,1231
notthey,1226
going,1197
notwe,1196
take,1194
terrible,1190
last,1184
give,1175
now,1174
say,1169
staff,1161
horrible,1150
much,1139
notyou,1130
great,1126
made,1124
night,1122
meal,1114
cold,1110
nothing,1106
waited,1104
drinks,1095
his,1088
know,1087
times,1069
come,1062
customer,1060
notgo,1057
re,1054
wanted,1054
salad,1050
right,1048
around,1042
make,1041
while,1040
notwith,1037
nothere,1030
notagain,1007
waiting,1006
sauce,1004
away,997
hour,995
notget,991
dinner,986
finally,985
being,970
rude,969
tasted,969
notall,966
something,959
notthere,952
try,952
location,948
notme,943
him,940
looked,926
drink,925
few,923
notplace,918
walked,917
notone,912
long,910
cheese,905
same,889
notour,888
notgood,887
since,878
called,877
waiter,877
thing,875
notbut,866
next,864
notus,863
why,861
money,860
notso,857
ok,855
nice,852
does,851
later,839
little,837
half,835
new,835
where,835
pretty,834
day,831
ll,831
disappointed,829
small,829
see,827
meat,826
nothad,826
any,825
ask,823
fries,823
think,823
notlike,822
quality,803
notwhat,802
sushi,801
want,796
notany,793
into,786
tried,786
lunch,784
rice,783
burger,781
decided,776
notorder,772
ca,768
taste,760
notif,759
notknow,754
notas,753
wrong,744
friend,742
bill,737
thought,732
brought,728
check,727
seated,726
sat,725
water,724
tables,721
put,720
many,716
gave,713
always,711
maybe,710
wo,709
steak,706
nottime,704
sandwich,704
best,702
else,702
everything,702
eating,697
let,694
old,694
pm,689
both,688
sure,688
customers,684
most,684
however,680
almost,678
soup,675
served,673
arrived,665
noteat,660
least,655
price,654
star,652
actually,650
notabout,647
notdo,646
notup,645
instead,644
husband,643
side,643
business,642
every,641
someone,633
fish,626
notcome,621
bland,620
tell,620
notwere,619
notout,616
review,607
notyour,605
pay,604
once,603
used,602
owner,601
notbecause,596
dish,592
find,588
notservice,587
poor,586
home,585
hot,585
nottheir,585
looking,582
top,582
dry,579
though,577
friends,575
notwant,573
plate,571
awful,566
point,566
bread,564
party,562
sitting,558
wife,558
beef,555
its,555
kitchen,554
without,551
cooked,549
slow,549
seemed,548
notfrom,546
notgoing,544
line,543
person,543
notjust,541
notwould,541
reviews,540
orders,538
vegas,535
fried,533
notthem,533
probably,531
nothow,528
front,525
guy,525
empty,523
door,522
lot,520
years,515
ate,513
notwhen,513
definitely,511
notbeen,510
sorry,509
buffet,508
extremely,508
couple,507
area,499
leave,499
done,497
different,494
shrimp,492
notrestaurant,491
saw,491
hard,490
love,490
things,490
getting,489
call,488
notanything,483
three,483
today,483
coming,482
hours,482
second,482
whole,482
beer,481
need,480
paid,475
big,474
each,471
hostess,471
oh,465
full,464
family,462
trying,461
through,459
busy,458
notan,457
wings,457
open,455
completely,451
found,449
these,449
room,444
tip,444
dirty,443
felt,443
restaurants,440
look,438
dishes,437
guess,435
special,434
less,433
notever,433
phone,432
started,432
notshe,429
already,425
breakfast,423
notdid,422
work,422
absolutely,420
stars,420
visit,420
extra,417
notvery,417
comes,415
disgusting,415
inside,413
mins,413
until,413
received,412
places,411
drive,410
notare,410
coffee,407
notworth,407
prices,407
card,405
min,405
kind,404
notmake,404
counter,402
literally,400
having,399
large,399
management,399
notmuch,398
far,395
flavor,395
bartender,394
kids,392
bit,389
given,389
high,389
notcare,389
notrecommend,388
close,385
says,384
okay,383
notbad,382
nothe,382
employees,380
decent,378
end,378
feel,378
lady,377
walk,376
twice,374
house,373
chips,372
group,372
nother,372
free,371
overpriced,370
servers,368
part,366
please,365
several,365
ago,362
fresh,362
charge,361
dining,361
enough,360
fine,360
nottake,359
anything,358
such,358
ended,356
everyone,356
girl,356
worse,356
yes,356
items,355
start,355
behind,354
notcame,354
mediocre,352
ordering,351
sit,351
delivery,350
nottaste,350
disappointing,349
frozen,349
notmore,349
notwill,349
outside,349
rather,347
notmoney,346
use,344
yelp,343
attitude,340
gone,340
those,340
fact,339
notthink,339
roll,339
pieces,336
bowl,334
stay,334
wine,334
quite,332
notgive,331
notno,331
must,330
serve,330
mexican,329
unfortunately,329
name,328
notpeople,327
super,327
notother,326
rolls,325
ready,324
notafter,323
bring,322
gross,321
notwait,321
cook,320
closed,319
notby,318
notsure,318
seriously,318
charged,317
nottable,317
noticed,316
kept,312
tea,312
noteither,311
saying,311
sweet,311
pasta,310
worth,310
average,308
notasked,308
notreturn,308
friendly,307
keep,307
store,307
pork,306
hungry,305
chinese,304
happy,300
notonly,300
reason,300
stopped,300
might,298
piece,297
past,296
usually,296
eggs,295
meals,295
street,295
boyfriend,294
expensive,294
fast,294
reservation,294
may,293
entire,292
looks,292
ice,291
notreally,291
bacon,290
barely,290
tonight,290
town,290
making,289
year,289
appetizer,287
huge,287
working,287
clearly,286
forgot,286
chef,283
glass,283
offered,282
red,282
during,281
man,281
overall,281
tasteless,281
myself,280
bite,279
avoid,278
sad,278
tacos,278
notcould,276
lettuce,275
salty,275
thai,275
needs,272
notsee,272
rest,272
under,272
week,272
taking,271
course,270
wish,270
medium,269
needed,269
