word,V1,V2,V3,V4,V5
a,0.9689227092460254,1.0464588819161311,1.1025983241259907,1.086691842046177,0.8719450051283133
aa,0.8190056074028248,0.8072223163892235,1.1374703309328598,1.0314484241566106,1.0529107888070879
aaa,0.6020914212610198,0.987040123435629,1.5771463626972921,0.8877992143996396,0.992555147480732
aaron,0.5891660891198186,0.5654907817508334,0.5178317970655671,0.6856851039768189,2.4207571776188104
ab,0.7216413044248665,0.5114922715064426,1.1840582115083016,1.0727934031839852,1.166347788752097
aback,1.8684004422740257,1.8116827876837125,1.5393211631748336,0.7825081293812598,0.4523559247417335
abalone,0.4853366562387109,0.9021374678767476,1.510546291675933,1.0430308828203076,0.9700477388622092
abandon,1.4998140619541591,1.1952457333018365,0.9555557496382783,1.0314484241566104,0.7509702091056981
abandoned,1.9397595201273794,2.1218138632955106,1.4149691314744512,0.775779023100784,0.4151998752267081
abc,1.0423707730581406,0.9373988796646399,1.2172409775177617,1.3076286033023694,0.6839478907176476
abd,2.3252886475912367,1.2473999555826634,0.5281778216995615,0.7260195218578083,0.9632164167575458
abilities,1.3094244421887387,1.7931374361500787,1.0921643092770594,0.7687664656681278,0.7813060559704769
ability,0.9862613531285516,1.0096965284293218,1.1383913595409025,1.2249101862203629,0.7639130922637642
abit,0.46698210633004694,1.4402545539786673,1.7229330012659492,1.2893105301957632,0.5639939529610141
abita,0.11828320829028545,0.3994866646072216,0.9525158055779231,1.8543010796067518,1.0693705568783272
able,0.745809166142355,0.9254157812136433,1.1185178936173534,1.303748803688178,0.8372584913086741
abnormally,1.364558102912475,2.6719874048560466,1.4932086010971561,1.0524594105746155,0.2699295382977826
abomination,6.134411905813425,2.550959337131707,0.6942781871767975,0.4945767906835599,0.16603082854377677
abound,0.4206600152400805,1.0326353405884783,1.4696679381823328,1.394575824584727,0.7232492175670374
about,1.314151475267814,1.4376349583531314,1.2473784037051654,0.9177760714133291,0.6958254591537124
above,0.5406756227260385,1.025390870140309,1.4220022273664492,1.1932786482533977,0.8255549559316847
abrasive,4.814248518866464,3.120551533620446,1.2552797580651918,0.39656066307536353,0.12325042678343837
abroad,0.595640441747509,0.43815604335013314,0.6508858004782475,1.1111889147791596,1.6214826147629156
abrupt,2.8496467177129023,2.8585333929318386,1.7819705656449925,0.6805916791932128,0.11046890104293368
abruptly,7.227104026536441,2.666317405057943,1.1382789591302054,0.28676700288129947,0.08044519557275875
absence,1.42608407212592,2.2172534210481842,1.5146781712063893,0.8980315544775427,0.40837976776902696
absent,2.0190531723580567,3.624819763651534,1.9910817867939234,0.5730269023092279,0.15348166354164025
absinthe,0.15733898461254953,0.381289254911823,0.8250665076484828,1.298995491924933,1.5966005286028706
absolut,0.8966630305876478,0.7681357621219559,1.5002123937852292,1.175114454664138,0.7588460304596978
absolute,1.4096540554338335,0.4472065364952535,0.3515844137624061,0.6066208326767422,2.2098876096236104
absolutely,1.0907102836713929,0.6387487433173803,0.48907314837596516,0.7281149159741757,1.8772492322246963
absolutley,1.610936649271672,0.268282711035242,0.41842658602173055,0.6991627021468081,1.9387292133034857
absolutly,1.5733898461254952,0.8725020341493956,0.6166286530846556,0.5865098882459158,1.5520355981669696
absorb,0.5302232834052969,1.4342157508173312,1.6013142011765884,1.2514205880838876,0.6046468017602112
absorbed,0.8077631061875051,1.4561609797756205,1.4644930510760568,1.1842555981057379,0.5936134270531507
abstract,0.16512804325673516,0.5642234335174161,1.2405117609114837,1.3393434761436585,1.1655116971472568
absurd,3.822026167879849,2.9051710010049145,1.4055360039312883,0.38061682118952767,0.23620880761898141
absurdly,2.1753824829039456,1.9003358698329638,1.1910399917465027,0.6366552141890189,0.5821038505331567
abt,2.382561766990036,0.8470068448398352,1.2552797580651918,0.5829624494057186,0.855573350972412
abundance,0.6696549345090337,1.3334733493787543,1.4745336498591444,1.1480512126779339,0.6911690600012427
abundant,0.35761648354431336,0.7770947492055285,1.0833680599322326,1.5120682854628187,0.9354513436540425
aburi,0.1764860568140767,0.394448094062626,1.4361480242810365,1.5500618475070629,0.9807354524775698
abuse,3.953287672635318,2.083331175816879,0.8416626730322166,0.6870812953650071,0.3128664679887282
abused,7.314882617951865,1.6037999428919958,0.8101450920846273,0.37524019731862357,0.26531973593596087
abv,0.14980178774488248,1.013512463910914,0.870779651991169,2.163963681083145,0.7137320169186387
abysmal,5.872869477473914,5.201368740351797,0.8799011747205938,0.19729603866187417,0.03537827031575704
ac,1.4264021105006135,1.8067808731642643,1.5824287809792257,1.2047890621051518,0.31122187560112613
acai,0.4082011418968942,0.7336710873208658,0.7487633644599389,0.9587180865558237,1.678371375744883
acapulco,0.6080496176172486,0.8733458465615322,1.5910541789468273,1.0732316357833251,0.8684689493059092
acc,0.6724972729407358,1.1497830472938941,1.837795201350346,1.5807156744188704,0.40423878509246997
accent,0.8005875033438837,0.9179384525357821,1.056645552323555,1.0774165163198781,1.0190733320088956
accented,0.1378341518093409,0.46777498334349876,0.9825079962915318,1.726572113678057,1.089955418962486
accents,0.18623001404512685,0.48990755928174623,1.0673780056623199,1.6735756293913628,1.0411567905771615
accentuated,0.320729468633274,0.4427967075338945,0.4686377763443383,1.849398115356073,1.2589150735736918
accept,1.7816326198773988,1.3612915700243282,1.188994358299373,1.0518471386568902,0.5223713998231088
